토큰,등장연월,len
타월,"['2018-10', '2019-10', '2020-5', '2021-11']",4
디바이스,"['2016-2', '2020-11', '2021-11', '2021-12']",4
추진,"['2017-10', '2019-4', '2019-7', '2020-2']",4
채널,"['2015-9', '2016-2', '2016-4', '2020-11']",4
비서실,"['2018-11', '2019-1', '2021-9', '2021-10']",4
손소독제,"['2020-2', '2020-4', '2020-8', '2020-9']",4
협약,"['2019-7', '2020-2', '2020-12', '2021-8']",4
독어,"['2020-5', '2020-6', '2021-2', '2021-9']",4
소형,"['2017-11', '2019-5', '2020-2', '2021-6']",4
콘텐츠,"['2017-6', '2019-2', '2019-12', '2020-8']",4
방학,"['2014-7', '2015-7', '2020-6', '2021-6']",4
입문,"['2019-6', '2020-6', '2021-6', '2021-11']",4
지표,"['2019-12', '2020-8', '2020-12', '2021-7']",4
제조,"['2016-2', '2017-7', '2018-2', '2021-4']",4
천장,"['2020-8', '2020-10', '2021-6', '2021-8']",4
코팅,"['2018-10', '2019-10', '2020-2', '2020-7']",4
거울,"['2018-10', '2021-6', '2021-7', '2021-10']",4
피펫,"['2017-1', '2017-7', '2017-8', '2018-4']",4
비례,"['2020-11', '2021-5', '2021-6', '2021-7']",4
용수,"['2020-6', '2021-5', '2021-6', '2021-11']",4
원단,"['2013-4', '2013-5', '2016-5', '2017-11']",4
셔틀콕,"['2018-9', '2018-12', '2019-4', '2019-11']",4
판화,"['2018-11', '2019-3', '2019-11', '2021-9']",4
출입문,"['2019-3', '2019-5', '2019-7', '2021-4']",4
정주,"['2018-6', '2018-7', '2018-12', '2019-1']",4
일대일,"['2018-12', '2020-2', '2020-12', '2021-2']",4
선풍기,"['2018-7', '2018-8', '2019-8', '2021-1']",4
오징어,"['2018-10', '2019-10', '2020-10', '2020-11']",4
펌프,"['2016-2', '2018-1', '2019-5', '2021-4']",4
강용,"['2018-9', '2019-6', '2019-12', '2021-8']",4
형광,"['2013-8', '2017-1', '2017-7', '2018-2']",4
공예,"['2020-10', '2021-4', '2021-6', '2021-11']",4
침구,"['2013-12', '2018-6', '2019-2', '2021-2']",4
취미,"['2020-10', '2021-4', '2021-6', '2021-11']",4
휠체어,"['2016-1', '2019-7', '2020-2', '2020-3']",4
위생용품,"['2015-6', '2020-2', '2020-3', '2020-9']",4
사생,"['2019-1', '2019-3', '2019-8', '2020-2']",4
세탁기,"['2014-5', '2019-6', '2019-8', '2020-9']",4
종사,"['2015-10', '2015-11', '2021-1', '2021-11']",4
블라인드,"['2019-2', '2020-7', '2020-12', '2021-2']",4
마이,"['2013-12', '2014-2', '2015-3', '2021-2']",4
가방,"['2013-2', '2018-11', '2020-5', '2020-7']",4
벤치,"['2013-6', '2017-10', '2019-10', '2021-2']",4
경진,"['2020-9', '2020-11', '2021-10', '2021-11']",4
드라이아이스,"['2018-8', '2018-12', '2020-1', '2021-9']",4
격려,"['2018-10', '2019-1', '2019-9', '2021-2']",4
순수,"['2016-2', '2016-4', '2017-7', '2018-2']",4
성능,"['2013-5', '2018-7', '2018-9', '2019-2']",4
공유기,"['2018-6', '2018-10', '2019-11', '2020-11']",4
회수통,"['2019-1', '2020-11', '2021-8', '2021-12']",4
생명과학,"['2020-12', '2021-5', '2021-11', '2021-12']",4
적성검사,"['2013-3', '2013-4', '2013-9', '2014-4']",4
동물,"['2013-8', '2015-12', '2016-1', '2016-4']",4
경제,"['2014-5', '2016-2', '2020-1', '2020-2']",4
냉동,"['2016-2', '2016-8', '2016-12', '2019-7']",4
적응력,"['2018-3', '2018-7', '2019-3', '2020-3']",4
메모리,"['2018-7', '2019-1', '2019-5', '2019-12']",4
홈페이지,"['2014-2', '2018-7', '2019-8', '2020-9']",4
호실,"['2014-1', '2018-7', '2019-4', '2019-7']",4
대상,"['2018-6', '2020-5', '2021-1', '2021-2']",4
정보통,"['2013-11', '2014-10', '2019-4', '2020-7']",4
커튼,"['2013-12', '2019-1', '2020-2', '2020-5']",4
야간,"['2015-1', '2017-1', '2017-11', '2021-2']",4
정화,"['2016-2', '2016-8', '2016-11', '2019-5']",4
허브,"['2020-9', '2020-11', '2021-2', '2021-11']",4
와이어,"['2013-10', '2018-10', '2019-6', '2021-7']",4
하복,"['2016-8', '2019-2', '2021-4', '2021-11']",4
비용,"['2014-4', '2015-10', '2018-9', '2019-2']",4
민원,"['2014-2', '2018-9', '2019-4', '2020-2']",4
양성,"['2017-2', '2018-7', '2018-9', '2021-7']",4
수정,"['2018-10', '2019-1', '2019-2', '2021-1']",4
유리,"['2014-1', '2018-8', '2019-5', '2021-9']",4
전력,"['2013-2', '2016-11', '2020-3', '2021-4']",4
무전기,"['2013-6', '2018-5', '2018-6', '2021-3']",4
운동장,"['2018-9', '2018-11', '2020-3', '2020-12']",4
협상,"['2020-12', '2021-2', '2021-6', '2021-9']",4
방음,"['2019-6', '2020-3', '2020-11', '2020-12']",4
절단,"['2017-8', '2017-10', '2020-2', '2020-5']",4
받침,"['2021-3', '2021-4', '2021-6', '2021-10']",4
천막,"['2017-10', '2018-5', '2019-10', '2021-3']",4
멀티,"['2013-8', '2013-11', '2019-2', '2021-2']",4
학술지,"['2013-12', '2014-12', '2015-12', '2016-12']",4
발생,"['2013-10', '2016-2', '2016-4', '2016-12']",4
이용자,"['2015-1', '2016-2', '2018-2', '2018-5']",4
탁상,"['2017-9', '2021-3', '2021-9', '2021-11']",4
안내,"['2019-4', '2019-10', '2020-3', '2020-8', '2021-9']",5
공구,"['2014-1', '2019-2', '2019-5', '2020-3', '2021-4']",5
시비,"['2019-10', '2020-9', '2020-10', '2021-1', '2021-2']",5
디스플레이,"['2016-1', '2016-4', '2018-10', '2020-2', '2020-5']",5
아사,"['2018-9', '2020-3', '2020-7', '2021-3', '2021-10']",5
가재,"['2013-7', '2013-9', '2015-6', '2018-10', '2020-11']",5
충전,"['2017-10', '2018-8', '2019-12', '2020-7', '2021-2']",5
신호,"['2013-10', '2016-12', '2017-8', '2019-5', '2019-9']",5
교과목,"['2019-5', '2019-6', '2020-5', '2020-6', '2021-6']",5
보드마카,"['2019-3', '2019-7', '2019-9', '2019-10', '2019-12']",5
페인트,"['2019-1', '2019-7', '2021-4', '2021-5', '2021-10']",5
필름,"['2019-10', '2020-4', '2020-9', '2020-12', '2021-1']",5
계열,"['2018-10', '2019-2', '2020-11', '2021-1', '2021-10']",5
재생,"['2013-3', '2019-12', '2020-2', '2020-6', '2021-1']",5
영문,"['2020-7', '2020-9', '2020-10', '2021-2', '2021-5']",5
수납,"['2018-5', '2020-2', '2021-2', '2021-3', '2021-5']",5
모델링,"['2015-6', '2016-4', '2018-12', '2019-5', '2021-3']",5
아카데미,"['2014-7', '2016-2', '2017-4', '2018-7', '2020-6']",5
캐비닛,"['2018-5', '2018-7', '2019-2', '2020-12', '2021-8']",5
회관,"['2014-4', '2015-2', '2018-2', '2018-9', '2018-11']",5
비실,"['2019-7', '2020-8', '2020-9', '2021-4', '2021-10']",5
잉크젯,"['2018-1', '2019-2', '2020-10', '2020-12', '2021-1']",5
매트릭스,"['2017-8', '2017-12', '2020-1', '2020-10', '2020-11']",5
어댑터,"['2019-1', '2019-2', '2019-5', '2019-12', '2020-11']",5
교내,"['2019-4', '2019-8', '2020-1', '2021-2', '2021-10']",5
실시,"['2013-4', '2013-9', '2014-1', '2014-3', '2015-10']",5
세척,"['2017-10', '2017-11', '2019-7', '2019-12', '2020-1']",5
