토큰,등장연월,len
졸업생,"['2013-2', '2014-1', '2015-2', '2016-2', '2017-2', '2018-1', '2019-1', '2021-1', '2021-7', '2021-8']",10
온라인,"['2020-6', '2020-8', '2020-9', '2020-10', '2020-12', '2021-1', '2021-2', '2021-5', '2021-9', '2021-11']",10
기말고사,"['2014-6', '2015-6', '2015-12', '2018-12', '2019-5', '2019-11', '2020-11', '2020-12', '2021-5', '2021-12']",10
중간고사,"['2013-10', '2014-4', '2015-4', '2015-10', '2018-10', '2019-4', '2019-10', '2020-10', '2021-4', '2021-10']",10
박스,"['2016-12', '2019-7', '2019-8', '2019-12', '2020-4', '2020-8', '2020-10', '2021-5', '2021-6', '2021-11']",10
석기,"['2013-6', '2015-6', '2015-11', '2016-1', '2016-2', '2016-4', '2016-12', '2017-8', '2018-6', '2019-11']",10
방지,"['2018-11', '2019-2', '2019-8', '2020-2', '2020-3', '2020-9', '2020-10', '2021-2', '2021-4', '2021-11']",10
설치,"['2013-4', '2015-2', '2015-12', '2016-3', '2017-1', '2019-1', '2019-5', '2019-7', '2019-9', '2021-5']",10
정년,"['2013-12', '2014-8', '2015-2', '2017-2', '2017-8', '2018-8', '2019-2', '2020-2', '2020-8', '2021-2']",10
휴게실,"['2014-9', '2015-2', '2015-12', '2017-4', '2017-5', '2017-10', '2018-1', '2018-9', '2019-5', '2021-2']",10
인증,"['2018-9', '2018-11', '2019-1', '2019-2', '2019-8', '2019-9', '2020-2', '2020-5', '2020-9', '2021-2']",10
화이트보드,"['2013-4', '2013-11', '2017-2', '2019-1', '2019-5', '2019-6', '2019-10', '2019-12', '2020-9', '2021-1']",10
미래,"['2017-1', '2017-2', '2017-5', '2017-7', '2017-8', '2017-9', '2017-10', '2018-2', '2018-6', '2019-3']",10
장기,"['2013-12', '2014-6', '2015-4', '2016-8', '2017-5', '2018-4', '2018-12', '2019-4', '2019-12', '2020-7']",10
영어,"['2013-8', '2016-12', '2017-1', '2017-9', '2019-1', '2020-7', '2020-9', '2020-10', '2021-2', '2021-5']",10
매트,"['2013-8', '2018-6', '2018-7', '2018-11', '2019-1', '2020-12', '2021-2', '2021-3', '2021-4', '2021-6']",10
인간,"['2019-7', '2019-8', '2019-9', '2019-10', '2020-3', '2020-7', '2020-10', '2020-12', '2021-1', '2021-2']",10
밸브,"['2013-2', '2016-2', '2018-9', '2018-12', '2019-4', '2020-1', '2020-11', '2021-5', '2021-6', '2021-7']",10
스크린,"['2014-3', '2017-2', '2018-3', '2018-12', '2019-8', '2020-3', '2020-5', '2020-7', '2020-11', '2021-10']",10
학교,"['2013-9', '2014-4', '2016-4', '2018-12', '2019-4', '2019-9', '2019-10', '2020-3', '2020-4', '2021-4']",10
영선,"['2018-9', '2018-10', '2018-12', '2019-1', '2019-4', '2019-7', '2019-9', '2019-10', '2020-2', '2021-3']",10
프린터기,"['2017-9', '2018-7', '2018-8', '2019-1', '2020-5', '2020-6', '2020-7', '2021-1', '2021-3', '2021-6']",10
기원,"['2013-7', '2013-8', '2014-1', '2014-3', '2016-2', '2016-12', '2017-1', '2019-5', '2019-11', '2020-5']",10
앰프,"['2014-2', '2014-4', '2015-9', '2016-1', '2017-7', '2018-12', '2019-1', '2019-2', '2019-8', '2020-2']",10
액정,"['2013-2', '2013-5', '2013-8', '2014-1', '2016-4', '2016-5', '2020-7', '2020-8', '2021-5', '2021-9']",10
카드,"['2014-5', '2018-7', '2019-1', '2019-2', '2020-6', '2020-7', '2021-1', '2021-2', '2021-3', '2021-9']",10
센서,"['2013-10', '2013-11', '2015-10', '2016-4', '2017-8', '2019-3', '2019-4', '2019-8', '2020-2', '2020-5']",10
건전지,"['2015-2', '2019-2', '2019-9', '2019-10', '2020-2', '2020-6', '2020-7', '2020-8', '2021-1', '2021-11']",10
원심분리기,"['2014-7', '2016-1', '2016-2', '2016-4', '2016-12', '2017-1', '2017-7', '2017-9', '2017-11', '2021-1']",10
협업,"['2016-1', '2020-1', '2020-2', '2020-7', '2020-10', '2020-11', '2020-12', '2021-1', '2021-2', '2021-9']",10
발전,"['2013-10', '2016-2', '2018-7', '2019-6', '2019-7', '2019-10', '2019-11', '2020-2', '2020-7', '2021-11']",10
공사,"['2014-2', '2015-4', '2015-5', '2015-7', '2015-8', '2015-12', '2016-1', '2019-1', '2020-6', '2021-2']",10
바이오,"['2016-8', '2017-2', '2017-6', '2017-8', '2020-8', '2020-12', '2021-1', '2021-2', '2021-5', '2021-11']",10
실용,"['2016-1', '2016-4', '2016-7', '2017-2', '2018-2', '2019-11', '2019-12', '2020-1', '2021-8', '2021-9']",10
진로,"['2017-7', '2018-6', '2018-7', '2018-8', '2020-5', '2020-6', '2020-11', '2020-12', '2021-7', '2021-8']",10
난방,"['2017-11', '2018-11', '2019-2', '2019-5', '2019-6', '2019-10', '2020-2', '2020-11', '2021-2', '2021-6']",10
기기,"['2014-1', '2015-2', '2016-1', '2019-1', '2019-2', '2019-4', '2020-6', '2021-2', '2021-6', '2021-8']",10
프로젝트,"['2013-6', '2013-12', '2015-9', '2016-1', '2016-2', '2016-11', '2017-12', '2018-1', '2020-3', '2021-12']",10
예방,"['2015-1', '2018-11', '2019-10', '2020-2', '2020-4', '2020-5', '2020-9', '2020-10', '2020-11', '2021-2']",10
유전체,"['2019-7', '2019-8', '2019-9', '2019-10', '2020-3', '2020-7', '2020-10', '2020-12', '2021-1', '2021-2']",10
연수,"['2017-1', '2017-5', '2017-6', '2018-4', '2018-7', '2019-4', '2019-6', '2019-12', '2020-7', '2020-8', '2021-1']",11
계획,"['2013-11', '2014-1', '2014-2', '2015-7', '2017-8', '2019-10', '2020-7', '2020-9', '2021-1', '2021-6', '2021-11']",11
종합,"['2013-10', '2017-8', '2018-9', '2018-11', '2019-9', '2019-10', '2019-11', '2020-12', '2021-6', '2021-11', '2021-12']",11
단과대학,"['2015-2', '2017-1', '2018-2', '2018-10', '2019-2', '2019-8', '2019-11', '2019-12', '2020-1', '2020-2', '2021-1']",11
자연,"['2015-6', '2018-9', '2018-11', '2019-1', '2019-5', '2020-1', '2020-2', '2020-12', '2021-4', '2021-5', '2021-12']",11
기구,"['2013-12', '2015-5', '2016-1', '2016-2', '2018-1', '2018-4', '2018-11', '2020-3', '2021-1', '2021-2', '2021-3']",11
비료,"['2013-7', '2013-11', '2014-4', '2014-6', '2014-7', '2016-2', '2017-4', '2019-7', '2020-3', '2021-2', '2021-12']",11
정시,"['2013-12', '2017-1', '2018-9', '2018-12', '2019-1', '2019-12', '2020-1', '2020-12', '2021-1', '2021-2', '2021-12']",11
신문사,"['2016-4', '2016-11', '2017-10', '2018-1', '2018-11', '2018-12', '2019-4', '2019-12', '2020-2', '2020-11', '2021-1']",11
사용,"['2015-1', '2017-1', '2017-12', '2018-1', '2018-8', '2018-12', '2019-3', '2019-10', '2020-10', '2020-12', '2021-11']",11
보건,"['2013-9', '2013-11', '2014-3', '2014-8', '2017-10', '2018-11', '2019-1', '2020-11', '2020-12', '2021-5', '2021-12']",11
테이프,"['2018-10', '2018-12', '2019-1', '2019-2', '2019-12', '2020-2', '2020-7', '2020-8', '2020-9', '2021-1', '2021-9']",11
상장,"['2017-1', '2018-6', '2019-2', '2019-4', '2019-8', '2019-11', '2020-2', '2020-5', '2020-12', '2021-1', '2021-2']",11
강화,"['2013-7', '2015-10', '2016-2', '2017-2', '2018-8', '2018-9', '2018-10', '2019-8', '2019-9', '2020-5', '2020-12']",11
방문,"['2014-1', '2015-10', '2016-4', '2018-6', '2018-9', '2018-10', '2019-1', '2019-9', '2019-10', '2020-12', '2021-9']",11
현수막,"['2018-9', '2018-12', '2019-9', '2019-10', '2019-11', '2020-10', '2020-11', '2020-12', '2021-1', '2021-9', '2021-11']",11
대회,"['2013-3', '2013-10', '2017-5', '2018-11', '2020-7', '2020-9', '2020-11', '2020-12', '2021-9', '2021-10', '2021-11']",11
기자,"['2018-11', '2019-11', '2020-6', '2020-7', '2020-8', '2020-11', '2020-12', '2021-3', '2021-5', '2021-7', '2021-11']",11
활동,"['2017-10', '2018-7', '2018-8', '2019-2', '2019-3', '2019-12', '2020-7', '2020-8', '2020-9', '2021-1', '2021-10']",11
이동식,"['2015-9', '2016-1', '2016-12', '2017-2', '2018-11', '2019-10', '2020-5', '2021-2', '2021-5', '2021-8', '2021-9', '2021-10']",12
면접,"['2015-10', '2015-11', '2018-10', '2018-11', '2019-10', '2019-11', '2020-1', '2020-5', '2020-11', '2020-12', '2021-1', '2021-11']",12
작업,"['2015-8', '2016-5', '2018-1', '2018-2', '2019-1', '2019-2', '2019-6', '2019-12', '2020-2', '2021-5', '2021-8', '2021-10']",12
호관,"['2015-8', '2015-12', '2018-7', '2018-9', '2018-10', '2019-1', '2019-2', '2019-9', '2019-10', '2019-11', '2019-12', '2020-2']",12
개최,"['2013-12', '2017-5', '2018-8', '2018-9', '2018-12', '2019-2', '2019-9', '2019-10', '2019-12', '2020-2', '2020-12', '2021-1']",12
자동차,"['2013-5', '2013-10', '2013-11', '2014-1', '2014-7', '2014-8', '2015-5', '2015-6', '2015-7', '2016-2', '2016-4', '2017-1']",12
세미나,"['2014-11', '2017-12', '2018-11', '2019-10', '2019-12', '2020-1', '2020-6', '2021-1', '2021-2', '2021-6', '2021-7', '2021-12']",12
외장하드,"['2019-3', '2019-5', '2019-10', '2020-4', '2020-5', '2020-11', '2020-12', '2021-1', '2021-2', '2021-3', '2021-9', '2021-11']",12
검사,"['2013-3', '2013-4', '2013-9', '2014-3', '2014-4', '2015-3', '2016-4', '2018-3', '2018-7', '2019-3', '2019-10', '2020-3']",12
시험,"['2013-3', '2013-4', '2018-12', '2019-1', '2019-5', '2019-10', '2019-12', '2020-2', '2020-4', '2020-11', '2021-2', '2021-4']",12
봉투,"['2014-2', '2018-11', '2019-2', '2019-3', '2019-4', '2019-7', '2020-2', '2020-5', '2020-9', '2020-11', '2021-2', '2021-10']",12
수여,"['2017-2', '2018-1', '2019-1', '2019-2', '2019-6', '2020-1', '2020-2', '2020-8', '2020-12', '2021-1', '2021-2', '2021-8']",12
일반,"['2013-11', '2014-5', '2018-7', '2018-8', '2019-4', '2019-12', '2020-3', '2021-5', '2021-6', '2021-8', '2021-11', '2021-12']",12
기관,"['2015-10', '2016-4', '2018-7', '2019-5', '2019-7', '2019-11', '2019-12', '2020-1', '2020-5', '2020-6', '2020-7', '2021-1']",12
본부,"['2016-11', '2016-12', '2017-2', '2017-5', '2017-10', '2018-7', '2018-11', '2019-2', '2020-2', '2020-5', '2021-7', '2021-10']",12
미화,"['2014-1', '2015-12', '2017-3', '2018-6', '2018-8', '2018-9', '2018-12', '2019-3', '2019-8', '2019-10', '2020-3', '2020-5']",12
마우스,"['2019-1', '2019-2', '2019-7', '2019-10', '2019-11', '2020-10', '2020-11', '2021-2', '2021-3', '2021-4', '2021-7', '2021-11']",12
사회과학,"['2018-6', '2018-7', '2019-2', '2019-3', '2019-5', '2019-9', '2019-11', '2020-2', '2021-3', '2021-5', '2021-6', '2021-11']",12
학위,"['2017-2', '2018-1', '2019-1', '2019-2', '2019-6', '2020-1', '2020-2', '2020-5', '2020-8', '2021-1', '2021-2', '2021-8']",12
기간,"['2018-10', '2018-12', '2019-3', '2019-5', '2019-8', '2020-3', '2020-10', '2020-11', '2021-4', '2021-5', '2021-10', '2021-12']",12
진료,"['2013-9', '2013-11', '2014-3', '2014-8', '2017-10', '2018-1', '2018-11', '2019-1', '2020-2', '2020-11', '2020-12', '2021-12']",12
위생,"['2014-1', '2015-2', '2018-1', '2019-1', '2019-3', '2019-5', '2019-7', '2019-8', '2019-9', '2020-2', '2020-7', '2021-2']",12
램프,"['2013-6', '2013-11', '2013-12', '2015-9', '2016-1', '2018-9', '2018-11', '2018-12', '2019-1', '2019-11', '2020-11', '2021-5']",12
측정,"['2013-9', '2015-11', '2015-12', '2016-1', '2016-2', '2016-9', '2016-11', '2017-8', '2018-7', '2018-9', '2019-10', '2019-11', '2021-5']",13
교육대학,"['2013-9', '2015-7', '2016-2', '2018-8', '2018-9', '2018-12', '2019-1', '2019-2', '2019-9', '2019-11', '2020-2', '2020-5', '2021-1']",13
공통,"['2013-7', '2018-9', '2018-11', '2019-1', '2019-5', '2020-1', '2020-4', '2020-6', '2020-7', '2020-8', '2020-9', '2020-10', '2020-12']",13
코로나,"['2020-2', '2020-3', '2020-4', '2020-5', '2020-6', '2020-9', '2020-10', '2020-11', '2020-12', '2021-1', '2021-2', '2021-10', '2021-12']",13
사실,"['2013-7', '2018-7', '2018-8', '2018-9', '2018-10', '2019-1', '2019-2', '2019-3', '2019-5', '2019-7', '2019-11', '2020-5', '2020-8']",13
화상,"['2013-9', '2013-11', '2016-4', '2016-5', '2017-1', '2018-7', '2020-2', '2020-4', '2020-8', '2020-10', '2021-7', '2021-9', '2021-10']",13
라이센스,"['2015-3', '2016-11', '2016-12', '2017-1', '2017-2', '2018-11', '2019-7', '2019-8', '2019-12', '2020-2', '2020-9', '2020-11', '2020-12']",13
특성,"['2015-11', '2016-11', '2016-12', '2017-8', '2017-9', '2017-10', '2017-11', '2017-12', '2018-1', '2018-2', '2018-7', '2018-10', '2019-2']",13
전화기,"['2013-9', '2014-5', '2015-2', '2016-4', '2016-8', '2017-4', '2018-2', '2018-10', '2019-3', '2019-6', '2020-12', '2021-3', '2021-8']",13
대형,"['2013-12', '2015-9', '2015-11', '2017-2', '2017-4', '2017-7', '2018-10', '2019-9', '2019-12', '2020-9', '2020-11', '2021-1', '2021-8']",13
기반,"['2016-2', '2017-1', '2017-2', '2017-5', '2017-7', '2017-8', '2017-9', '2017-10', '2017-11', '2018-6', '2018-9', '2019-2', '2021-1']",13
스캐너,"['2013-11', '2015-2', '2015-10', '2016-1', '2017-4', '2017-7', '2017-9', '2018-2', '2018-10', '2019-2', '2020-5', '2021-3', '2021-6']",13
심사,"['2018-11', '2018-12', '2019-1', '2019-2', '2019-3', '2019-9', '2019-10', '2019-11', '2019-12', '2020-1', '2020-2', '2020-6', '2021-10']",13
조성,"['2015-8', '2016-2', '2016-12', '2018-2', '2018-12', '2019-1', '2019-3', '2019-7', '2019-9', '2020-2', '2020-7', '2020-9', '2021-6']",13
모바일,"['2015-6', '2016-4', '2018-7', '2018-9', '2018-10', '2019-3', '2020-3', '2020-8', '2020-9', '2020-10', '2020-11', '2021-3', '2021-11']",13
배부,"['2016-2', '2018-10', '2018-12', '2019-4', '2019-5', '2019-10', '2019-11', '2020-10', '2020-12', '2021-4', '2021-5', '2021-10', '2021-12']",13
신입생,"['2013-3', '2014-1', '2014-3', '2015-1', '2015-3', '2016-2', '2016-4', '2018-10', '2019-2', '2020-1', '2020-6', '2021-1', '2021-4']",13
교육과정,"['2017-2', '2017-9', '2017-10', '2017-11', '2019-7', '2019-12', '2020-1', '2020-8', '2020-9', '2021-3', '2021-5', '2021-6', '2021-10']",13
다과,"['2018-7', '2018-9', '2018-11', '2018-12', '2019-1', '2019-2', '2019-3', '2019-4', '2019-5', '2019-10', '2019-11', '2020-1', '2020-5']",13
외국어,"['2019-7', '2019-8', '2019-10', '2019-11', '2019-12', '2020-1', '2020-4', '2020-5', '2020-6', '2020-7', '2020-8', '2020-10', '2020-12', '2021-1']",14
보관,"['2013-10', '2015-12', '2016-2', '2017-10', '2018-1', '2018-8', '2019-7', '2019-8', '2019-11', '2020-2', '2020-5', '2021-3', '2021-4', '2021-12']",14
빅데이터,"['2018-7', '2019-2', '2019-5', '2019-9', '2019-11', '2020-1', '2020-2', '2020-5', '2020-8', '2020-12', '2021-1', '2021-2', '2021-10', '2021-11']",14
고교,"['2018-6', '2018-7', '2018-8', '2018-9', '2018-11', '2019-8', '2019-9', '2019-11', '2020-11', '2021-7', '2021-8', '2021-9', '2021-11', '2021-12']",14
생수,"['2015-12', '2018-7', '2018-8', '2018-10', '2018-11', '2019-1', '2019-2', '2019-9', '2019-11', '2019-12', '2020-1', '2020-2', '2020-4', '2020-6']",14
스마트,"['2015-11', '2017-8', '2018-2', '2018-7', '2018-12', '2019-1', '2019-8', '2019-10', '2020-1', '2020-2', '2020-5', '2021-1', '2021-6', '2021-11']",14
조명,"['2013-2', '2014-6', '2014-10', '2015-6', '2016-11', '2016-12', '2017-4', '2018-2', '2018-4', '2018-12', '2020-3', '2021-5', '2021-7', '2021-11']",14
청소기,"['2013-6', '2013-9', '2018-3', '2018-8', '2018-9', '2018-12', '2019-2', '2019-3', '2019-5', '2020-2', '2020-3', '2020-8', '2021-2', '2021-3']",14
공동,"['2013-11', '2013-12', '2016-11', '2016-12', '2017-2', '2017-6', '2018-6', '2018-7', '2020-9', '2020-10', '2020-11', '2021-9', '2021-10', '2021-11']",14
로봇공학,"['2013-10', '2013-11', '2013-12', '2014-1', '2014-8', '2014-9', '2014-10', '2014-11', '2015-6', '2015-8', '2015-9', '2015-10', '2016-2', '2018-7']",14
스튜디오,"['2016-2', '2017-1', '2017-11', '2018-9', '2019-5', '2019-11', '2020-2', '2020-7', '2020-8', '2020-11', '2020-12', '2021-2', '2021-7', '2021-10']",14
건설,"['2013-4', '2013-5', '2013-10', '2013-12', '2014-1', '2014-10', '2015-1', '2015-9', '2016-2', '2016-12', '2017-2', '2020-12', '2021-5', '2021-11']",14
자동,"['2013-2', '2013-8', '2013-11', '2014-8', '2015-6', '2016-2', '2016-11', '2018-1', '2018-6', '2019-7', '2019-11', '2020-8', '2020-10', '2021-3']",14
연구소,"['2019-1', '2019-9', '2020-1', '2020-2', '2020-5', '2020-9', '2020-10', '2020-11', '2020-12', '2021-2', '2021-3', '2021-6', '2021-10', '2021-11', '2021-12']",15
학생복,"['2013-1', '2013-11', '2014-9', '2014-11', '2018-2', '2018-4', '2019-2', '2019-3', '2019-6', '2019-10', '2020-1', '2020-2', '2020-4', '2020-5', '2020-12']",15
양궁,"['2013-4', '2014-4', '2015-1', '2015-9', '2015-11', '2015-12', '2019-7', '2020-4', '2020-6', '2020-10', '2020-12', '2021-1', '2021-3', '2021-4', '2021-12']",15
수시,"['2015-10', '2015-11', '2018-9', '2018-10', '2018-11', '2019-10', '2019-11', '2020-10', '2020-11', '2020-12', '2021-7', '2021-8', '2021-9', '2021-10', '2021-11']",15
구매,"['2018-7', '2018-9', '2018-10', '2018-11', '2018-12', '2019-1', '2019-2', '2019-3', '2019-5', '2019-6', '2019-7', '2019-8', '2019-10', '2019-11', '2019-12']",15
자체,"['2016-8', '2016-12', '2017-8', '2017-9', '2017-11', '2017-12', '2018-1', '2018-2', '2018-6', '2018-7', '2018-8', '2018-12', '2019-1', '2019-5', '2019-6']",15
네트워크,"['2013-9', '2013-10', '2014-1', '2014-7', '2015-10', '2016-1', '2016-7', '2016-8', '2017-12', '2018-2', '2018-9', '2019-1', '2019-11', '2020-1', '2021-7']",15
총장,"['2016-5', '2016-9', '2017-2', '2017-3', '2017-5', '2018-7', '2018-8', '2018-11', '2018-12', '2019-1', '2019-2', '2020-2', '2021-2', '2021-5', '2021-6']",15
케이블,"['2018-6', '2018-7', '2018-8', '2018-10', '2019-3', '2020-5', '2020-8', '2020-9', '2020-11', '2020-12', '2021-5', '2021-8', '2021-9', '2021-10', '2021-11']",15
진행,"['2018-11', '2019-2', '2019-4', '2019-5', '2019-6', '2019-10', '2019-12', '2020-2', '2020-3', '2020-6', '2020-10', '2020-11', '2021-1', '2021-4', '2021-5']",15
국외,"['2014-4', '2015-4', '2017-12', '2018-1', '2018-2', '2018-3', '2018-8', '2019-4', '2019-7', '2020-1', '2020-5', '2020-10', '2020-11', '2021-1', '2021-10']",15
우수,"['2013-2', '2013-12', '2014-1', '2014-4', '2014-6', '2015-2', '2017-2', '2018-1', '2018-10', '2019-1', '2019-2', '2019-5', '2020-11', '2021-1', '2021-7']",15
아동,"['2014-7', '2014-8', '2015-2', '2015-6', '2015-9', '2016-2', '2016-4', '2016-5', '2017-1', '2018-7', '2018-9', '2018-10', '2018-12', '2019-1', '2019-2']",15
프로젝터,"['2013-8', '2014-3', '2015-9', '2016-1', '2016-2', '2017-7', '2018-2', '2018-3', '2018-6', '2018-9', '2019-1', '2019-2', '2020-5', '2020-11', '2021-7']",15
소비자,"['2014-7', '2014-8', '2015-2', '2015-6', '2015-9', '2016-2', '2016-4', '2016-5', '2017-1', '2018-7', '2018-9', '2018-10', '2018-12', '2019-1', '2019-2']",15
마스크,"['2020-2', '2020-3', '2020-4', '2020-6', '2020-7', '2020-8', '2020-9', '2020-10', '2020-12', '2021-1', '2021-2', '2021-4', '2021-6', '2021-8', '2021-11']",15
연합,"['2013-10', '2015-10', '2017-10', '2018-5', '2018-11', '2019-2', '2019-4', '2019-9', '2019-10', '2019-11', '2020-1', '2020-4', '2020-6', '2020-11', '2021-6']",15
유니폼,"['2013-3', '2013-4', '2013-7', '2014-7', '2019-1', '2019-3', '2019-7', '2019-10', '2020-2', '2020-6', '2020-7', '2020-12', '2021-2', '2021-4', '2021-8']",15
추가,"['2013-11', '2015-12', '2016-2', '2017-10', '2018-11', '2019-2', '2019-7', '2019-9', '2019-11', '2020-2', '2020-10', '2020-11', '2020-12', '2021-1', '2021-9']",15
데스크톱,"['2013-8', '2013-11', '2014-10', '2015-1', '2015-5', '2017-2', '2018-1', '2018-9', '2018-11', '2019-7', '2020-1', '2020-7', '2021-8', '2021-9', '2021-11']",15
기획,"['2013-11', '2014-1', '2014-2', '2017-3', '2018-3', '2019-11', '2019-12', '2020-1', '2020-4', '2020-5', '2020-6', '2020-7', '2020-12', '2021-1', '2021-2', '2021-12']",16
실기,"['2013-12', '2017-1', '2018-10', '2018-11', '2019-1', '2019-2', '2019-10', '2019-11', '2020-1', '2020-10', '2020-11', '2020-12', '2021-1', '2021-9', '2021-10', '2021-11']",16
제물포,"['2013-3', '2013-4', '2013-5', '2013-6', '2013-9', '2013-10', '2013-11', '2013-12', '2014-2', '2014-4', '2017-2', '2017-9', '2018-9', '2018-11', '2020-2', '2021-5']",16
국내,"['2013-4', '2013-12', '2014-1', '2014-4', '2014-12', '2015-12', '2017-1', '2018-1', '2018-4', '2019-1', '2019-4', '2019-5', '2020-4', '2020-7', '2020-12', '2021-1']",16
기초,"['2016-1', '2016-6', '2018-8', '2018-9', '2018-12', '2019-2', '2019-5', '2019-7', '2019-8', '2019-9', '2019-10', '2019-11', '2020-1', '2020-2', '2020-4', '2020-12']",16
디지털,"['2013-9', '2013-10', '2014-1', '2015-2', '2015-10', '2016-2', '2016-4', '2016-5', '2016-7', '2017-1', '2017-7', '2017-12', '2019-3', '2019-12', '2020-1', '2021-1']",16
대외,"['2018-1', '2019-2', '2019-4', '2019-5', '2019-6', '2019-7', '2020-1', '2020-2', '2020-9', '2020-12', '2021-2', '2021-4', '2021-5', '2021-7', '2021-8', '2021-12']",16
키트,"['2015-6', '2016-7', '2016-8', '2017-7', '2018-7', '2019-1', '2019-7', '2019-9', '2020-4', '2020-10', '2020-11', '2021-1', '2021-4', '2021-6', '2021-11', '2021-12']",16
잉크,"['2018-11', '2018-12', '2019-2', '2019-3', '2019-4', '2019-5', '2019-9', '2019-12', '2020-2', '2020-9', '2020-10', '2020-11', '2020-12', '2021-2', '2021-4', '2021-8']",16
수영장,"['2018-9', '2018-10', '2018-11', '2019-2', '2019-4', '2019-6', '2019-8', '2019-9', '2019-10', '2020-3', '2020-5', '2020-7', '2020-9', '2021-3', '2021-6', '2021-7']",16
종이컵,"['2018-5', '2018-7', '2018-9', '2018-10', '2018-11', '2019-1', '2019-5', '2019-8', '2019-10', '2019-12', '2020-2', '2020-3', '2020-6', '2020-12', '2021-2', '2021-11']",16
측정기,"['2013-4', '2013-9', '2013-10', '2014-8', '2015-6', '2016-11', '2017-1', '2017-8', '2018-1', '2018-7', '2018-10', '2019-5', '2019-9', '2020-1', '2020-5', '2020-8']",16
역량,"['2015-3', '2015-10', '2016-2', '2017-2', '2017-6', '2019-7', '2019-8', '2019-9', '2019-11', '2020-5', '2020-6', '2020-10', '2020-12', '2021-8', '2021-11', '2021-12']",16
사격,"['2013-4', '2014-2', '2014-4', '2015-12', '2016-12', '2019-6', '2019-10', '2019-11', '2019-12', '2020-3', '2020-4', '2020-7', '2020-12', '2021-1', '2021-10', '2021-11']",16
탁구,"['2013-3', '2014-4', '2015-10', '2015-12', '2018-10', '2019-10', '2020-4', '2020-6', '2020-9', '2020-10', '2020-12', '2021-1', '2021-3', '2021-4', '2021-8', '2021-11']",16
수도권,"['2016-11', '2016-12', '2017-1', '2017-2', '2017-5', '2017-7', '2017-8', '2017-9', '2017-10', '2017-11', '2018-2', '2018-6', '2018-7', '2018-10', '2019-2', '2021-4']",16
방송국,"['2015-12', '2016-1', '2016-5', '2017-10', '2018-9', '2019-2', '2019-3', '2019-4', '2019-6', '2019-9', '2019-11', '2020-9', '2020-10', '2020-12', '2021-1', '2021-8']",16
창의,"['2013-9', '2015-9', '2018-9', '2018-11', '2019-2', '2020-1', '2020-2', '2020-7', '2020-9', '2020-10', '2020-11', '2020-12', '2021-1', '2021-2', '2021-9', '2021-11']",16
인천,"['2016-2', '2016-6', '2016-7', '2016-8', '2017-2', '2017-8', '2017-12', '2018-6', '2018-7', '2019-6', '2019-9', '2019-11', '2020-3', '2020-10', '2021-1', '2021-6', '2021-10']",17
정수기,"['2013-4', '2018-5', '2018-7', '2018-9', '2018-10', '2018-11', '2019-1', '2019-3', '2019-5', '2019-8', '2019-10', '2019-12', '2020-2', '2020-3', '2020-6', '2020-12', '2021-2']",17
공용,"['2014-2', '2015-5', '2018-6', '2018-11', '2018-12', '2019-1', '2019-2', '2019-3', '2019-4', '2019-6', '2019-7', '2019-9', '2019-10', '2019-12', '2020-2', '2020-3', '2020-12']",17
방역,"['2019-9', '2020-2', '2020-6', '2020-7', '2020-8', '2020-9', '2020-10', '2020-11', '2020-12', '2021-1', '2021-2', '2021-7', '2021-8', '2021-9', '2021-10', '2021-11', '2021-12']",17
중국어,"['2014-8', '2018-8', '2019-3', '2019-6', '2019-9', '2019-11', '2020-5', '2020-6', '2020-10', '2020-11', '2020-12', '2021-2', '2021-4', '2021-7', '2021-8', '2021-10', '2021-11']",17
대기실,"['2013-10', '2018-11', '2019-2', '2019-3', '2019-7', '2019-11', '2020-1', '2020-2', '2020-6', '2020-7', '2020-8', '2020-11', '2020-12', '2021-3', '2021-5', '2021-7', '2021-11']",17
데스크탑,"['2015-6', '2015-9', '2016-1', '2016-2', '2016-10', '2016-11', '2016-12', '2017-2', '2017-7', '2017-10', '2018-2', '2018-8', '2019-4', '2020-2', '2020-4', '2020-5', '2021-4']",17
해외,"['2013-11', '2013-12', '2014-6', '2014-12', '2015-4', '2016-6', '2016-8', '2017-2', '2017-5', '2018-4', '2019-4', '2019-9', '2019-10', '2020-2', '2020-7', '2020-12', '2021-2']",17
파티션,"['2015-9', '2015-10', '2016-7', '2017-11', '2018-4', '2018-5', '2018-8', '2018-9', '2018-11', '2019-1', '2019-2', '2019-5', '2020-1', '2020-5', '2020-6', '2021-2', '2021-8']",17
교재,"['2018-1', '2018-7', '2018-8', '2018-9', '2019-3', '2019-4', '2019-6', '2019-9', '2019-11', '2020-5', '2020-6', '2020-10', '2020-11', '2021-2', '2021-4', '2021-8', '2021-11']",17
재무회계,"['2018-9', '2018-10', '2018-11', '2018-12', '2019-1', '2019-2', '2019-5', '2019-6', '2019-7', '2019-8', '2019-9', '2019-10', '2019-11', '2021-2', '2021-6', '2021-11', '2021-12']",17
총무,"['2013-2', '2014-2', '2015-2', '2016-12', '2017-1', '2017-2', '2017-7', '2018-9', '2018-10', '2018-12', '2019-2', '2019-7', '2019-10', '2019-11', '2019-12', '2020-2', '2021-9']",17
